(*'-') < python solve.py
username=''
username='k'
username='ky'
username='ky0'
username='ky0m'
username='ky0mu'
username='ky0muk'
username='ky0muky'
username='ky0muky0'
username='ky0muky0m'
username='ky0muky0mu'
username='ky0muky0mup'
username='ky0muky0mupu'
username='ky0muky0mupur'
username='ky0muky0mupur1'
username='ky0muky0mupur1n'
username='ky0muky0mupur1n'
mid=57896044618658097711785492504343953926634992332820282019728792003956564819967, password_hash='7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=-1, ng=115792089237316195423570985008687907853269984665640564039457584007913129639936, res=False
mid=86844066927987146567678238756515930889952488499230423029593188005934847229951, password_hash='bfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=57896044618658097711785492504343953926634992332820282019728792003956564819967, ng=115792089237316195423570985008687907853269984665640564039457584007913129639936, res=False
mid=101318078082651670995624611882601919371611236582435493534525386006923988434943, password_hash='dfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=86844066927987146567678238756515930889952488499230423029593188005934847229951, ng=115792089237316195423570985008687907853269984665640564039457584007913129639936, res=True
mid=94081072505319408781651425319558925130781862540832958282059287006429417832447, password_hash='cfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=86844066927987146567678238756515930889952488499230423029593188005934847229951, ng=101318078082651670995624611882601919371611236582435493534525386006923988434943, res=False
mid=97699575293985539888638018601080422251196549561634225908292336506676703133695, password_hash='d7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=94081072505319408781651425319558925130781862540832958282059287006429417832447, ng=101318078082651670995624611882601919371611236582435493534525386006923988434943, res=True
mid=95890323899652474335144721960319673690989206051233592095175811756553060483071, password_hash='d3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=94081072505319408781651425319558925130781862540832958282059287006429417832447, ng=97699575293985539888638018601080422251196549561634225908292336506676703133695, res=True
mid=94985698202485941558398073639939299410885534296033275188617549381491239157759, password_hash='d1ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=94081072505319408781651425319558925130781862540832958282059287006429417832447, ng=95890323899652474335144721960319673690989206051233592095175811756553060483071, res=False
mid=95438011051069207946771397800129486550937370173633433641896680569022149820415, password_hash='d2ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=94985698202485941558398073639939299410885534296033275188617549381491239157759, ng=95890323899652474335144721960319673690989206051233592095175811756553060483071, res=False
mid=95664167475360841140958059880224580120963288112433512868536246162787605151743, password_hash='d37fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95438011051069207946771397800129486550937370173633433641896680569022149820415, ng=95890323899652474335144721960319673690989206051233592095175811756553060483071, res=True
mid=95551089263215024543864728840177033335950329143033473255216463365904877486079, password_hash='d33fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95438011051069207946771397800129486550937370173633433641896680569022149820415, ng=95664167475360841140958059880224580120963288112433512868536246162787605151743, res=False
mid=95607628369287932842411394360200806728456808627733493061876354764346241318911, password_hash='d35fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95551089263215024543864728840177033335950329143033473255216463365904877486079, ng=95664167475360841140958059880224580120963288112433512868536246162787605151743, res=False
mid=95635897922324386991684727120212693424710048370083502965206300463566923235327, password_hash='d36fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95607628369287932842411394360200806728456808627733493061876354764346241318911, ng=95664167475360841140958059880224580120963288112433512868536246162787605151743, res=True
mid=95621763145806159917048060740206750076583428498908498013541327613956582277119, password_hash='d367ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95607628369287932842411394360200806728456808627733493061876354764346241318911, ng=95635897922324386991684727120212693424710048370083502965206300463566923235327, res=False
mid=95628830534065273454366393930209721750646738434496000489373814038761752756223, password_hash='d36bffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95621763145806159917048060740206750076583428498908498013541327613956582277119, ng=95635897922324386991684727120212693424710048370083502965206300463566923235327, res=False
mid=95632364228194830223025560525211207587678393402289751727290057251164337995775, password_hash='d36dffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95628830534065273454366393930209721750646738434496000489373814038761752756223, ng=95635897922324386991684727120212693424710048370083502965206300463566923235327, res=True
mid=95630597381130051838695977227710464669162565918392876108331935644963045375999, password_hash='d36cffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95628830534065273454366393930209721750646738434496000489373814038761752756223, ng=95632364228194830223025560525211207587678393402289751727290057251164337995775, res=True
mid=95629713957597662646531185578960093209904652176444438298852874841862399066111, password_hash='d36c7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95628830534065273454366393930209721750646738434496000489373814038761752756223, ng=95630597381130051838695977227710464669162565918392876108331935644963045375999, res=False
mid=95630155669363857242613581403335278939533609047418657203592405243412722221055, password_hash='d36cbfffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95629713957597662646531185578960093209904652176444438298852874841862399066111, ng=95630597381130051838695977227710464669162565918392876108331935644963045375999, res=False
mid=95630376525246954540654779315522871804348087482905766655962170444187883798527, password_hash='d36cdfffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630155669363857242613581403335278939533609047418657203592405243412722221055, ng=95630597381130051838695977227710464669162565918392876108331935644963045375999, res=True
mid=95630266097305405891634180359429075371940848265162211929777287843800303009791, password_hash='d36ccfffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630155669363857242613581403335278939533609047418657203592405243412722221055, ng=95630376525246954540654779315522871804348087482905766655962170444187883798527, res=True
mid=95630210883334631567123880881382177155737228656290434566684846543606512615423, password_hash='d36cc7ffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630155669363857242613581403335278939533609047418657203592405243412722221055, ng=95630266097305405891634180359429075371940848265162211929777287843800303009791, res=False
mid=95630238490320018729379030620405626263839038460726323248231067193703407812607, password_hash='d36ccbffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630266097305405891634180359429075371940848265162211929777287843800303009791, res=True
mid=95630224686827325148251455750893901709788133558508378907457956868654960214015, password_hash='d36cc9ffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630238490320018729379030620405626263839038460726323248231067193703407812607, res=True
mid=95630217785080978357687668316138039432762681107399406737071401706130736414719, password_hash='d36cc8ffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630224686827325148251455750893901709788133558508378907457956868654960214015, res=True
mid=95630214334207804962405774598760108294249954881844920651878124124868624515071, password_hash='d36cc87fffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630217785080978357687668316138039432762681107399406737071401706130736414719, res=True
mid=95630212608771218264764827740071142724993591769067677609281485334237568565247, password_hash='d36cc83fffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630214334207804962405774598760108294249954881844920651878124124868624515071, res=True
mid=95630211746052924915944354310726659940365410212679056087983165938922040590335, password_hash='d36cc81fffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630212608771218264764827740071142724993591769067677609281485334237568565247, res=True
mid=95630211314693778241534117596054418548051319434484745327334006241264276602879, password_hash='d36cc80fffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630210883334631567123880881382177155737228656290434566684846543606512615423, ng=95630211746052924915944354310726659940365410212679056087983165938922040590335, res=False
mid=95630211530373351578739235953390539244208364823581900707658586090093158596607, password_hash='d36cc817ffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211314693778241534117596054418548051319434484745327334006241264276602879, ng=95630211746052924915944354310726659940365410212679056087983165938922040590335, res=False
mid=95630211638213138247341795132058599592286887518130478397820876014507599593471, password_hash='d36cc81bffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211530373351578739235953390539244208364823581900707658586090093158596607, ng=95630211746052924915944354310726659940365410212679056087983165938922040590335, res=False
mid=95630211692133031581643074721392629766326148865404767242902020976714820091903, password_hash='d36cc81dffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211638213138247341795132058599592286887518130478397820876014507599593471, ng=95630211746052924915944354310726659940365410212679056087983165938922040590335, res=False
mid=95630211719092978248793714516059644853345779539041911665442593457818430341119, password_hash='d36cc81effffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211692133031581643074721392629766326148865404767242902020976714820091903, ng=95630211746052924915944354310726659940365410212679056087983165938922040590335, res=True
mid=95630211705613004915218394618726137309835964202223339454172307217266625216511, password_hash='d36cc81e7fffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211692133031581643074721392629766326148865404767242902020976714820091903, ng=95630211719092978248793714516059644853345779539041911665442593457818430341119, res=False
mid=95630211712352991582006054567392891081590871870632625559807450337542527778815, password_hash='d36cc81ebfffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211705613004915218394618726137309835964202223339454172307217266625216511, ng=95630211719092978248793714516059644853345779539041911665442593457818430341119, res=False
mid=95630211715722984915399884541726267967468325704837268612625021897680479059967, password_hash='d36cc81edfffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712352991582006054567392891081590871870632625559807450337542527778815, ng=95630211719092978248793714516059644853345779539041911665442593457818430341119, res=True
mid=95630211714037988248702969554559579524529598787734947086216236117611503419391, password_hash='d36cc81ecfffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712352991582006054567392891081590871870632625559807450337542527778815, ng=95630211715722984915399884541726267967468325704837268612625021897680479059967, res=True
mid=95630211713195489915354512060976235303060235329183786323011843227577015599103, password_hash='d36cc81ec7ffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712352991582006054567392891081590871870632625559807450337542527778815, ng=95630211714037988248702969554559579524529598787734947086216236117611503419391, res=True
mid=95630211712774240748680283314184563192325553599908205941409646782559771688959, password_hash='d36cc81ec3ffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712352991582006054567392891081590871870632625559807450337542527778815, ng=95630211713195489915354512060976235303060235329183786323011843227577015599103, res=True
mid=95630211712563616165343168940788727136958212735270415750608548560051149733887, password_hash='d36cc81ec1ffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712352991582006054567392891081590871870632625559807450337542527778815, ng=95630211712774240748680283314184563192325553599908205941409646782559771688959, res=False
mid=95630211712668928457011726127486645164641883167589310846009097671305460711423, password_hash='d36cc81ec2ffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712563616165343168940788727136958212735270415750608548560051149733887, ng=95630211712774240748680283314184563192325553599908205941409646782559771688959, res=True
